date,symbol,price_open,price_close,price_high,price_low,high_52wk,low_52wk,market_cap,shares_outstanding,float_shares,weekly_avg_volume,free_float_pct,dividend_yield,eps,net_income_margin,price_to_book,price_to_earnings,peg_ratio
2026-07-18,OTSU,410,401.51,425,399.99,447.94,254.95,4.86B,12.1M,3.02M,26.02K,25,0,28.78,8.39,4.52,13.95,1.82
2026-07-18,PAEL,42,41.83,42.55,41.6,64.6,32.01,38.64B,923.65M,508.01M,6.93M,55,0,4.46,5.86,0.77,9.38,0.32
2026-07-18,PAKD,127,126.43,128,125.99,252,85.01,1.5B,11.86M,5.06M,6.41K,42.63,,,,,,
2026-07-18,PAKOXY,297,287.11,297.8,283,356.68,206,25.01B,87.12M,21.78M,1.64K,25,0,22.58,14.35,2.01,10.63,0.15
2026-07-18,PAKQATAR,22.35,21.77,22.35,21.52,29.4,15.24,5.02B,230.71M,80.75M,639.51K,35,,,,,,
2026-07-18,PIBTL,16.85,16.5,16.88,16.45,22.97,9.33,29.47B,1.79B,803.74M,10.96M,45,0,1.18,14.81,1.68,13.99,7.89
2026-07-18,PICT,53.9,51.41,53.9,50.81,59.75,23.65,5.61B,109.15M,21.83M,713.79K,20,0,-1.17,-1281.2,4.14,-43.8,2.14
2026-07-18,PIM,22.7,24.5,24.68,22,31.33,16.16,490M,20M,1M,2.84K,5,,,,,,
2026-07-18,PIOC,284.99,280.01,285.7,276.11,427.5,200.01,63.6B,227.15M,34.07M,524.17K,15,3.57,24.32,14.8,1.26,11.51,0.18
2026-07-18,PKGS,790,795.92,798.18,786,855,610,71.14B,89.38M,17.88M,6.65K,20,2.09,-9.43,-0.43,1.08,-84.4,-3.57
2026-07-18,PMRS,542,529.82,542,505.01,835,260,1.99B,3.75M,387.66K,1.96K,10.34,0,-300.03,-3.27,0.45,-1.77,-0.12
2026-07-18,POML,166,164.5,179.94,158.1,240.95,113.11,1.28B,7.76M,3.11M,4.48K,40,,,,,,
2026-07-18,POWER,21.15,20.79,21.49,20.5,24.26,13.65,26.83B,1.29B,452.11M,1.06M,35.03,0,2.24,8.78,1.14,9.28,0.15
2026-07-18,PPL,225,219.74,226.44,219,284.6,161.13,597.91B,2.72B,669.51M,4.18M,24.61,3.87,28.99,33.84,0.8,7.58,
2026-07-18,PPP,135,135.48,138.99,135,279,91,1.08B,8M,4M,5.99K,50,2.98,17.67,7.84,0.6,5.77,0.3
